Date,Price,Open,High,Low,Vol.,Change %,day
"Aug 31, 2021",47157.00,47008.00,48241.00,46725.00,4.30K,0.00,170.00
"Aug 30, 2021",47008.00,48800.00,48915.70,46904.00,4.12K,-0.04,169.00
"Aug 29, 2021",48800.00,48914.00,49650.00,47844.00,4.05K,0.00,168.00
"Aug 28, 2021",48914.00,49076.10,49310.00,48400.00,2.30K,0.00,167.00
"Aug 27, 2021",49076.10,46832.00,49159.00,46364.90,5.80K,0.05,166.00
"Aug 26, 2021",46832.00,48989.00,49385.00,46370.70,6.48K,-0.04,165.00
"Aug 25, 2021",48989.00,47714.00,49244.00,47158.00,4.12K,0.03,164.00
"Aug 24, 2021",47714.00,49539.00,49857.00,47604.00,4.77K,-0.04,163.00
"Aug 23, 2021",49539.00,49264.00,50506.30,49055.00,5.42K,0.01,162.00
"Aug 22, 2021",49264.00,48868.00,49487.00,48121.00,2.75K,0.01,161.00
"Aug 21, 2021",48868.00,49332.00,49784.00,48290.00,3.92K,-0.01,160.00
"Aug 20, 2021",49332.00,46765.00,49362.00,46660.00,6.04K,0.05,159.00
"Aug 19, 2021",46765.00,44744.00,47060.00,43992.00,5.97K,0.05,158.00
"Aug 18, 2021",44744.00,44698.00,46007.80,44290.00,5.82K,0.00,157.00
"Aug 17, 2021",44698.00,45940.00,47157.00,44467.00,6.93K,-0.03,156.00
"Aug 16, 2021",45940.00,47031.00,48059.00,45689.00,6.06K,-0.02,155.00
"Aug 15, 2021",47031.00,47084.00,47355.00,45556.00,3.83K,0.00,154.00
"Aug 14, 2021",47084.00,47842.00,48120.00,46036.00,4.35K,-0.02,153.00
"Aug 13, 2021",47842.00,44423.00,47866.00,44276.00,7.39K,0.08,152.00
"Aug 12, 2021",44423.00,45546.00,46185.00,43789.00,5.64K,-0.02,151.00
"Aug 11, 2021",45546.00,45612.00,46725.00,45358.00,4.32K,0.00,150.00
"Aug 10, 2021",45612.00,46291.00,46674.00,44644.00,6.37K,-0.01,149.00
"Aug 09, 2021",46293.00,43770.00,46432.20,42792.00,10.72K,0.06,148.00
"Aug 08, 2021",43770.00,44589.00,45249.00,43300.00,8.16K,-0.02,147.00
"Aug 07, 2021",44589.00,42830.00,44689.20,42464.00,9.32K,0.04,146.00
"Aug 06, 2021",42830.00,40887.00,43294.00,39933.00,6.46K,0.05,145.00
"Aug 05, 2021",40887.00,39741.00,41352.00,37361.00,6.43K,0.03,144.00
"Aug 04, 2021",39754.00,38219.00,39965.00,37564.00,3.67K,0.04,143.00
"Aug 03, 2021",38207.00,39156.00,39774.00,37700.00,5.08K,-0.02,142.00
"Aug 02, 2021",39156.00,39922.00,40441.00,38716.00,4.62K,-0.02,141.00
"Aug 01, 2021",39922.00,41409.00,42532.00,39596.00,9.11K,-0.04,140.00
"Jul 31, 2021",41409.00,42169.00,42317.00,41051.00,5.07K,-0.02,139.00
